"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,2.091306448E0,9.655450821E0,4.294288158E0
1.579730300E-2,8.528434038E-1,8.957704544E0,5.065364838E0
3.179886600E-2,-8.633778691E-1,8.911314011E0,4.382605553E0
4.779730300E-2,-1.215258479E0,9.144087791E0,3.254744768E0
6.380199100E-2,-1.111819386E0,9.314719200E0,3.104092121E0
7.979886600E-2,-8.272925019E-1,9.457518578E0,3.257847548E0
9.579730300E-2,-4.125496745E-1,9.393362999E0,3.557745457E0
1.117973030E-1,-1.996668428E-1,8.735723495E0,3.887177944E0
1.277973030E-1,7.129932195E-2,8.499617577E0,4.194775581E0
1.437973030E-1,3.193003237E-1,8.617124557E0,4.161984444E0
1.597973030E-1,4.250378311E-1,8.575924873E0,4.020314693E0
1.757973030E-1,3.968532979E-1,8.319706917E0,3.903889418E0
1.917973030E-1,5.844246149E-1,8.031397820E0,3.316515207E0
2.077973030E-1,4.369418025E-1,7.209487438E0,3.082199574E0
2.237973030E-1,-1.165784672E-1,5.799627781E0,2.519926071E0
2.397973030E-1,-5.449969769E-1,4.485440731E0,1.537604213E0
2.557973030E-1,-5.250675678E-1,3.323601961E0,6.794361472E-1
2.717973030E-1,-1.182160974E0,2.707162142E0,6.955634952E-1
2.877973030E-1,-2.156735182E0,3.121081352E0,9.466003180E-1
3.037973030E-1,-2.275688648E0,4.318555832E0,1.003745079E0
3.198269910E-1,-1.388301730E0,5.395046234E0,1.575921059E0
3.357973030E-1,-1.809920788E0,7.015107155E0,2.731793642E0
3.517973030E-1,-2.208382845E0,9.351015091E0,2.989036322E0
3.677973030E-1,-2.879860878E0,1.106229401E1,6.150167942E0
3.837973030E-1,-2.931699991E0,1.053982162E1,4.622954369E0
3.997973030E-1,-2.703752995E0,1.024938583E1,4.207847595E0
4.157973030E-1,-4.278648853E0,1.245248222E1,5.899226665E0
4.317973030E-1,-4.958535194E0,1.422574329E1,7.260972023E0
4.477973030E-1,-2.581523895E0,1.222701550E1,6.429657459E0
4.637973030E-1,-6.999208927E-1,1.117317390E1,5.073016644E0
4.797957410E-1,6.625235081E-1,1.324584484E1,5.311067581E0
4.957973030E-1,1.729360580E0,1.659116554E1,6.552154064E0
5.117957410E-1,2.607869864E0,1.778603554E1,6.940302372E0
5.277957410E-1,3.269942999E0,1.722929955E1,6.606196404E0
5.437988660E-1,4.666002274E0,1.677559853E1,5.450007439E0
5.597973030E-1,6.565609932E0,1.714002419E1,4.821395397E0
5.757957410E-1,8.243926048E0,1.832170486E1,4.791266918E0
5.917973030E-1,1.043244648E1,1.979720306E1,4.421802998E0
6.077957410E-1,1.155322075E1,2.026213837E1,3.715848923E0
6.237957410E-1,1.226461411E1,1.561466694E1,3.048326492E0
6.397973030E-1,1.059404564E1,1.684778786E1,9.919847846E-1
6.557973030E-1,9.884231567E0,1.427718067E1,2.639827728E0
6.717957410E-1,1.132962132E1,1.007240582E1,1.041286215E-1
6.877973030E-1,8.649225235E0,7.111076355E0,-1.281597018E0
7.037973030E-1,4.438926697E0,4.268593311E0,-1.390887618E0
7.197973030E-1,1.032580972E0,1.612322569E0,-1.119950056E0
7.357957410E-1,8.591353893E-2,1.137102127E0,-1.596587777E0
7.517957410E-1,1.227555051E-1,2.655869007E0,-1.506431699E-1
7.677957410E-1,1.267748952E0,4.864653587E0,1.245004058E0
7.837957410E-1,2.559918642E0,5.872411728E0,4.180755019E-1
7.997957410E-1,2.819191694E0,5.312685490E0,-2.330611795E-1
8.157957410E-1,2.729696274E0,5.131233692E0,1.157835964E-2
8.317957410E-1,2.412713528E0,4.591427803E0,-9.223423153E-2
8.477957410E-1,2.069241524E0,3.373928308E0,1.373026669E-1
8.637957410E-1,1.514505029E0,2.652373314E0,3.535661399E-1
8.797957410E-1,-2.167518586E-1,3.483994484E0,-8.236053586E-2
8.957973030E-1,-2.220430374E0,6.897580147E0,-1.344679475E0
9.117957410E-1,-2.684675694E0,1.068785095E1,-4.987668037E0
