"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
9.763444000E-3,2.132889032E0,7.797053337E0,5.142812729E0
2.576344400E-2,1.714171767E0,7.782132149E0,4.821328640E0
4.176500600E-2,6.147831678E-1,7.558188438E0,4.949791431E0
5.776500600E-2,-8.484668136E-1,7.621816635E0,3.263162851E0
7.376500600E-2,-1.452351451E0,7.287748814E0,2.805458546E0
8.976500600E-2,-8.703402281E-1,7.281025887E0,3.225430250E0
1.057650060E-1,1.357033551E-1,8.489169121E0,2.392765045E0
1.217650060E-1,1.272010565E0,9.329955101E0,4.098480701E0
1.377696940E-1,1.209493279E0,9.568388939E0,3.135542154E0
1.537665690E-1,1.033078909E0,8.761916161E0,2.752872229E0
1.697650060E-1,9.241139293E-1,8.539150238E0,1.845690012E0
1.857696940E-1,9.669988751E-1,8.592637062E0,1.895891666E0
2.017650060E-1,4.612381458E-1,9.132250786E0,2.041535854E0
2.177650060E-1,-3.908390403E-1,9.674681664E0,1.555330992E0
2.337634440E-1,-1.150011778E0,9.757368088E0,8.659540415E-1
2.497634440E-1,-1.750506282E0,9.539888382E0,4.038826525E-1
2.657634440E-1,-2.440045834E0,9.277875900E0,-2.465261519E-1
2.817634440E-1,-1.976107001E0,9.248379707E0,-9.691537023E-1
2.977634440E-1,-8.778675795E-1,1.079649067E1,-4.004254341E-1
3.137634440E-1,4.663713276E-1,1.380058098E1,3.726910055E-1
3.297650060E-1,1.838344693E0,1.540463829E1,5.878340006E-1
3.457634440E-1,1.939322472E0,1.330772972E1,2.572330274E-2
3.617634440E-1,1.635402560E0,1.140890694E1,-4.508664906E-1
3.777634440E-1,1.830041647E0,1.081774998E1,6.084241271E-1
3.937634440E-1,2.044380188E0,1.107082748E1,3.028693914E0
4.097634440E-1,2.727321386E0,1.401710224E1,4.189948738E-1
4.257634440E-1,7.498754978E0,1.714618111E1,1.549862504E0
4.417634440E-1,9.144174576E0,1.637738419E1,6.383746147E0
4.577634440E-1,6.330029964E0,1.420980740E1,7.379533291E0
4.737634440E-1,3.271437168E0,1.338853931E1,6.870372772E0
4.897634440E-1,1.248011112E0,1.422352123E1,7.145044804E0
5.057634440E-1,1.362032652E0,1.567143822E1,5.834219456E0
5.217634440E-1,3.907528877E0,1.604533768E1,5.698688507E0
5.377634440E-1,5.259936333E0,1.424641991E1,7.976732731E0
5.537634440E-1,4.933118820E0,1.170793343E1,9.210857391E0
5.697634440E-1,4.060920238E0,9.923142433E0,9.659455299E0
5.857634440E-1,4.878769875E0,9.058184624E0,8.482436180E0
6.017634440E-1,6.719738960E0,8.206011772E0,8.998712540E0
6.177634440E-1,6.779153347E0,7.012013435E0,8.741402626E0
6.337634440E-1,6.121169567E0,4.403684139E0,7.634841442E0
6.497634440E-1,5.578173637E0,2.156610489E0,5.761598587E0
6.657634440E-1,6.017031193E0,6.973256469E-1,4.984833717E0
6.817634440E-1,5.588382721E0,4.182000160E-1,3.583688974E0
