"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.441790000E-4,1.879984617E0,1.008862019E1,1.897644281E0
1.623792900E-2,1.109731674E0,9.458763123E0,2.613251925E0
3.223792900E-2,9.461597800E-1,9.133237839E0,2.872764349E0
4.823792900E-2,8.480358124E-1,9.427399635E0,2.443866968E0
6.423949100E-2,3.253815770E-1,9.333296776E0,2.321992636E0
8.023792900E-2,-8.330863714E-2,9.433959007E0,2.471984625E0
9.624105400E-2,-1.651999168E-2,9.612518311E0,2.430191517E0
1.122473040E-1,3.238971829E-1,9.718151093E0,2.531494856E0
1.282410540E-1,6.918572187E-1,9.700031281E0,2.839733839E0
1.442410540E-1,7.682418823E-1,9.673293114E0,3.017910480E0
1.602410540E-1,5.189575553E-1,9.554204941E0,3.048556089E0
1.762426160E-1,4.953124523E-1,9.441629410E0,2.923042536E0
1.922379290E-1,5.088157058E-1,9.322427750E0,2.793429852E0
2.082379290E-1,5.670235753E-1,9.208434105E0,2.721690178E0
2.242379290E-1,6.275202632E-1,9.316347122E0,2.654269457E0
2.402379290E-1,7.391187549E-1,9.454683304E0,2.597536325E0
2.562379290E-1,6.509643197E-1,9.530655861E0,2.632865191E0
2.722379290E-1,3.655658662E-1,9.607232094E0,2.672858238E0
2.882379290E-1,-2.763866447E-2,9.758105278E0,2.495524406E0
3.042379290E-1,-6.003509164E-1,9.909035683E0,2.079814196E0
3.202379290E-1,-1.505301595E0,9.703804970E0,1.495389700E0
3.362379290E-1,-3.559928894E0,9.568504333E0,8.320042491E-1
3.522379290E-1,-4.994429111E0,9.631165504E0,-2.718855739E-1
3.682379290E-1,-5.760899544E0,9.697829247E0,-1.327412486E0
3.842394910E-1,-5.804751396E0,9.628090858E0,-1.565032244E0
4.002379290E-1,-5.164504051E0,9.648556709E0,-1.471380591E0
4.162379290E-1,-3.215345860E0,9.737677574E0,-1.255873680E0
4.322379290E-1,-9.287299514E-1,1.009218216E1,-1.430966377E0
4.482379290E-1,1.989198625E-1,1.036571598E1,-1.876881719E0
4.642379290E-1,1.788028121E0,1.143629646E1,-5.847789645E-1
4.802379290E-1,3.638458729E0,1.226192284E1,1.704480201E-1
4.962379290E-1,5.003737926E0,1.271921539E1,4.881202579E-1
5.122379290E-1,5.710132599E0,1.289095688E1,1.374281406E0
