"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
8.675944000E-3,2.211600780E0,9.088370323E0,3.366611481E0
2.467594400E-2,8.793328404E-1,9.345842361E0,3.667926550E0
4.067594400E-2,7.782112807E-2,9.295938492E0,3.292927504E0
5.667594400E-2,5.368949771E-1,9.240191460E0,2.581102610E0
7.267594400E-2,1.286845088E0,9.238218307E0,2.407341003E0
8.867594400E-2,1.287180305E0,9.290489197E0,2.802154541E0
1.046775070E-1,9.215282798E-1,9.238430023E0,3.146670580E0
1.206759440E-1,7.979490757E-1,9.141704559E0,3.150989771E0
1.366759440E-1,7.171591520E-1,9.133649826E0,3.075993538E0
1.526759440E-1,6.447680593E-1,9.207122803E0,3.081797361E0
1.686759440E-1,6.675992012E-1,9.345536232E0,3.105748892E0
1.846759440E-1,7.851161957E-1,9.453916550E0,3.161533594E0
2.006790690E-1,8.272157907E-1,9.461099625E0,3.261726379E0
2.166759440E-1,7.785081863E-1,9.393995285E0,3.291701555E0
2.326806320E-1,7.467132211E-1,9.343123436E0,3.296327353E0
2.486759440E-1,7.507258654E-1,9.358800888E0,3.278294086E0
2.646759440E-1,8.317360878E-1,9.412459373E0,3.246279001E0
2.806759440E-1,8.912080526E-1,9.431468964E0,3.262501955E0
2.966759440E-1,9.063681364E-1,9.352814674E0,3.271849155E0
3.126759440E-1,8.716522455E-1,9.297163963E0,3.263095617E0
3.286759440E-1,7.753286958E-1,9.280844688E0,3.171024323E0
3.446759440E-1,6.705679893E-1,9.265177727E0,3.067498922E0
3.606759440E-1,5.470942259E-1,9.292241096E0,2.933577061E0
3.766759440E-1,4.424484968E-1,9.416864395E0,2.866156340E0
3.926759440E-1,3.555772603E-1,9.602434158E0,2.864614487E0
4.086759440E-1,2.443043292E-1,9.653842926E0,2.903027058E0
4.246759440E-1,1.061493307E-1,9.781376839E0,2.535536051E0
4.406759440E-1,-3.879277110E-1,9.879644394E0,2.182544708E0
4.566759440E-1,-1.110411644E0,9.475847244E0,2.135292768E0
4.726759440E-1,-1.354170084E0,9.580801010E0,1.853772998E0
4.886759440E-1,-1.170036793E0,9.918201447E0,1.336807251E0
5.046759440E-1,-7.667862177E-1,9.868544579E0,1.151668429E0
5.206759440E-1,-5.192736387E-1,9.421690941E0,1.269195080E0
5.366759440E-1,-2.311458141E-1,9.144442558E0,1.498348832E0
5.526759440E-1,1.286644042E-1,9.276516914E0,1.518192053E0
5.686759440E-1,2.483457476E-1,9.576385498E0,1.782243729E0
5.846759440E-1,3.228054345E-1,9.617709160E0,2.005890846E0
6.006759440E-1,4.976108670E-1,9.260906219E0,2.374521255E0
6.166759440E-1,7.913889885E-1,8.670428276E0,2.569208145E0
6.326759440E-1,8.666244149E-1,7.919387341E0,2.367252588E0
6.486759440E-1,4.384166300E-1,7.138494015E0,1.767849803E0
6.646759440E-1,-2.634196579E-1,6.942160130E0,1.160287619E0
6.806759440E-1,-8.221784830E-1,7.422274590E0,1.211006403E0
6.966759440E-1,-1.195999503E0,8.156298637E0,2.045950651E0
7.126759440E-1,-1.168878078E0,8.843223572E0,3.187937021E0
7.286759440E-1,-7.243130207E-1,9.775669098E0,3.877409697E0
7.446759440E-1,-2.510176897E-1,1.073936462E1,4.147686481E0
7.606759440E-1,2.297859043E-1,1.134139061E1,3.763417006E0
7.766759440E-1,6.330652237E-1,1.101859474E1,3.445016861E0
7.926759440E-1,1.135876298E0,1.053776264E1,3.670550585E0
8.086759440E-1,2.263660192E0,1.005093575E1,4.192448139E0
8.246759440E-1,3.239747524E0,9.901546478E0,4.443504333E0
8.406759440E-1,3.352389812E0,1.019535351E1,4.065536499E0
8.567353190E-1,3.111600399E0,1.044098949E1,4.024767876E0
8.726759440E-1,4.042983055E0,1.093910789E1,4.568059921E0
8.886759440E-1,4.820217609E0,1.070283794E1,5.566815853E0
9.046759440E-1,4.565675735E0,1.036788940E1,5.667248249E0
9.206759440E-1,4.458013058E0,1.073243999E1,4.924460888E0
9.366759440E-1,5.239116669E0,1.193543053E1,4.477425098E0
9.526759440E-1,6.825821400E0,1.274538898E1,4.430681229E0
9.686759440E-1,7.997543335E0,1.191294479E1,4.899743080E0
9.846759440E-1,8.026130676E0,1.081978989E1,5.058325768E0
1.000675944E0,8.951115608E0,1.075565434E1,4.817191601E0
1.016675944E0,1.118075848E1,1.102053928E1,4.976865292E0
1.032675944E0,1.269812775E1,1.126903820E1,5.466048717E0
1.048675944E0,1.226051521E1,1.057470036E1,5.442441940E0
1.064675944E0,1.105944061E1,8.778598785E0,5.006189346E0
1.080675944E0,9.702397346E0,7.490116119E0,4.343838215E0
1.096675944E0,8.391293526E0,6.267071724E0,3.735644341E0
1.112675944E0,7.644648075E0,4.965152740E0,2.704413652E0
1.128675944E0,6.932075500E0,3.915841341E0,1.679886818E0
1.144675944E0,5.973762989E0,2.981106758E0,1.979238540E-1
1.160677507E0,5.042217255E0,2.406440973E0,-6.847512722E-1
1.176675944E0,3.927716494E0,1.170410275E0,-9.386898875E-1
1.192675944E0,2.866165876E0,2.183512086E-3,-6.404106617E-1
1.208675944E0,1.830204368E0,-7.829901576E-1,-5.036250949E-1
1.224675944E0,1.643868446E0,-8.022682667E-1,-4.126741886E-1
1.240675944E0,2.480718613E0,-1.892855763E-1,-3.588142097E-1
1.256675944E0,3.177163124E0,9.775429964E-1,-4.019864500E-1
1.272675944E0,3.336176395E0,2.238310575E0,-1.087005854E0
1.288675944E0,3.758264542E0,3.108736753E0,-1.763607264E0
1.304675944E0,3.421218395E0,3.505120754E0,-2.644156218E0
1.320675944E0,2.744894743E0,2.753312826E0,-2.425383806E0
1.336675944E0,2.131624699E0,6.453619003E-1,-2.009032011E0
1.352675944E0,2.346442223E0,-1.338540673E0,-1.499517202E0
1.368675944E0,3.373066187E0,-3.102847099E0,1.647459745E0
1.384675944E0,5.537003517E0,-4.974892616E0,4.456040382E0
1.400675944E0,7.085745335E0,-4.842828751E0,2.484510988E-1
1.416675944E0,5.914712429E0,-5.146537781E0,3.836468980E-2
1.432675944E0,5.605639935E0,-5.443734646E0,1.784245253E0
1.448675944E0,9.128373146E0,-5.877200127E0,2.298730373E0
1.464675944E0,1.095983219E1,-3.343378067E0,-6.727706641E-2
1.480675944E0,1.570880795E1,-1.321244955E0,-1.997041941E0
1.496675944E0,1.895043182E1,-2.371217310E-2,-5.754032731E-1
1.512675944E0,1.992237282E1,2.240704536E0,-1.457216501E0
1.528675944E0,2.226838493E1,4.183771610E0,-1.688094139E0
1.544675944E0,2.084048271E1,6.381007195E0,-2.200817108E0
1.560675944E0,1.572104645E1,8.724575996E0,-2.328840017E0
1.576675944E0,1.158537865E1,9.820661545E0,-1.128866076E0
1.592675944E0,1.049568272E1,7.564825058E0,4.277289212E-1
1.608675944E0,9.713678360E0,5.418729305E0,1.554890275E-1
1.624675944E0,7.968879700E0,4.377299786E0,6.919625998E-1
1.640675944E0,6.164811134E0,3.060565472E0,5.275479555E-1
1.656675944E0,4.661654472E0,1.000766754E0,5.016331375E-2
1.672675944E0,3.655179977E0,-1.038757920E0,6.452852488E-2
1.688675944E0,2.550390005E0,-2.789005518E0,5.201833844E-1
1.704675944E0,1.918895125E0,-3.512437582E0,3.096660376E-1
1.720675944E0,2.029516935E0,-3.054857731E0,-8.982757330E-1
1.736675944E0,2.398492098E0,-2.421486139E0,-2.591187000E0
1.752675944E0,2.430794716E0,-2.326656580E0,-2.522387266E0
1.768675944E0,1.250999093E0,-1.486109734E0,-1.785088062E0
1.784675944E0,4.376026094E-1,2.594356984E-2,-1.352446318E0
1.800675944E0,5.871157050E-1,2.335007668E0,-7.921168208E-1
1.816675944E0,2.425134778E-1,7.683922291E0,-5.013362765E-1
1.832675944E0,-1.701281428E0,1.811253738E1,1.184440255E0
1.848675944E0,-5.320624828E0,2.648113441E1,6.462275982E0
1.864675944E0,-8.910941124E0,2.229595566E1,1.249691868E1
1.880675944E0,-5.065690517E0,2.864864540E1,1.535946465E1
1.896675944E0,-8.778867126E-1,2.884209633E1,1.069496536E1
1.912675944E0,-2.844110489E0,2.850775909E1,5.061389923E0
1.928675944E0,-5.764978886E0,2.764103889E1,5.514420986E0
1.944675944E0,-5.444855213E0,2.422788429E1,7.291646481E0
1.960675944E0,-3.754845619E0,2.181824684E1,8.624987602E0
1.976675944E0,-1.056120753E0,1.896289062E1,7.740262508E0
1.992675944E0,2.805879831E0,1.517036152E1,6.018429279E0
2.008675944E0,6.027019501E0,1.075950432E1,4.884611607E0
2.024675944E0,7.038321018E0,6.653936386E0,3.757680416E0
2.040675944E0,6.273928642E0,3.445639372E0,2.771039486E0
2.056675944E0,5.472369194E0,1.326885700E0,2.257933378E0
2.072675944E0,4.185275555E0,3.577224612E-1,1.624360442E0
2.088675944E0,2.411286592E0,-2.562753558E-1,7.881137133E-1
2.104675944E0,1.748744011E0,-1.086201370E-1,-4.698094130E-1
2.120675944E0,2.534185886E0,6.753851175E-1,-1.274079204E0
2.136675944E0,3.061187983E0,2.264139175E0,-1.695975780E0
2.152675944E0,2.247848988E0,3.682445049E0,-1.365260005E0
2.168675944E0,1.515318990E0,4.633699894E0,-1.043824077E0
2.184675944E0,1.427892327E0,5.139460564E0,-1.062613726E0
2.200675944E0,1.549211264E0,5.588028431E0,-6.381409168E-1
2.216675944E0,2.391137123E0,6.508130074E0,-8.173229694E-1
2.232675944E0,3.515166998E0,6.608064175E0,-6.144766808E-1
2.248675944E0,2.724917412E0,5.812126160E0,-3.122134805E-1
2.264675944E0,2.703982592E0,4.030791759E0,-7.681077719E-1
2.280675944E0,3.821576834E0,2.603148460E0,-6.156449914E-1
2.296675944E0,5.513654709E0,-6.857663989E-1,3.944207728E-1
2.312675944E0,6.092495918E0,-5.348014832E0,7.791211009E-1
2.328675944E0,1.055802727E1,-6.679937363E0,4.358778477E0
2.344675944E0,1.621331406E1,-6.439961910E0,6.637809277E0
2.360675944E0,1.965553284E1,-7.362648964E0,8.248408318E0
2.376675944E0,1.665704536E1,-7.748556137E0,8.459968567E0
2.392675944E0,1.463304520E1,-7.869175911E0,6.782974720E0
2.408675944E0,1.384003735E1,-5.626259327E0,4.565780640E0
2.424675944E0,1.375128937E1,-2.918100834E0,2.954914093E0
2.440675944E0,1.388621712E1,-1.123962760E0,1.757526040E0
2.456675944E0,1.332229614E1,3.477051258E-1,-1.006321311E0
2.472675944E0,1.140858173E1,1.685115695E0,-2.713684082E0
2.488675944E0,7.882372379E0,3.320345879E0,-2.802030087E0
2.504675944E0,4.946143150E0,4.767133236E0,-2.182506323E0
2.520675944E0,3.262080669E0,5.426697731E0,-1.522424936E0
2.536675944E0,2.613864899E0,5.504930496E0,-5.682781339E-1
2.552675944E0,2.585996389E0,5.477416515E0,-6.075909138E-1
2.568675944E0,3.374847651E0,4.359783649E0,-9.966486692E-1
2.584675944E0,4.106630325E0,3.287200689E0,-1.112518430E0
2.600675944E0,4.453952789E0,2.209484100E0,-6.009255052E-1
2.616675944E0,3.756368399E0,1.139850736E0,6.978619099E-2
2.632675944E0,2.402495146E0,3.304477334E-1,5.182872415E-1
2.648675944E0,1.042425871E0,6.283342838E-2,7.661637068E-1
2.664675944E0,7.760469317E-1,1.191546321E-1,6.603878736E-1
2.680675944E0,1.169021606E0,1.256572753E-1,2.120783776E-1
2.696675944E0,1.724055052E0,-1.297082603E-1,-2.023962438E-1
2.712675944E0,2.250434637E0,-5.755085945E-1,-7.574200630E-1
2.728675944E0,3.435296297E0,-3.693678677E-1,-1.132907510E0
2.744675944E0,5.688967705E0,1.336577535E0,-3.748266399E-1
2.760675944E0,5.502411842E0,5.788547993E0,2.682712555E0
2.776675944E0,2.424273014E0,1.628285980E1,6.335900307E0
2.792675944E0,2.488533258E0,2.820800591E1,8.964188576E0
2.808675944E0,2.492182016E0,2.676465607E1,8.028313637E0
2.824675944E0,-3.249247789E0,2.598704910E1,8.175671577E0
2.840675944E0,-1.425533581E1,3.072260666E1,1.145905209E1
2.856675944E0,-1.735274124E1,3.049577141E1,1.102932167E1
2.872675944E0,-1.122916031E1,2.854837418E1,9.774433136E0
2.888675944E0,-5.730138779E0,2.793264389E1,8.869597435E0
2.904696257E0,-2.393062115E0,2.508635902E1,7.974185467E0
2.920675944E0,3.161265612E0,2.020684242E1,6.839707375E0
2.936675944E0,7.086281776E0,1.585737228E1,6.224895477E0
2.952675944E0,7.909350395E0,1.254634476E1,6.236943245E0
2.968675944E0,6.617764950E0,9.457891464E0,5.515436172E0
2.984675944E0,5.211995125E0,6.126714230E0,4.108957291E0
3.000675944E0,4.127833366E0,3.446606636E0,2.446117640E0
3.016675944E0,3.000710487E0,1.562906146E0,2.007030487E0
3.032675944E0,1.516583085E0,7.217752337E-1,8.603037000E-1
3.048675944E0,3.919595480E-1,5.540757179E-1,7.031674981E-1
3.064675944E0,4.399201870E-1,1.188376307E0,7.611742020E-1
3.080675944E0,1.114759564E0,2.628057957E0,3.861751854E-1
3.096675944E0,1.719678521E0,4.236051083E0,1.444182452E-2
3.112675944E0,1.897299528E0,5.459527016E0,-3.431273997E-1
3.128675944E0,1.870427012E0,5.856619835E0,-5.477646589E-1
3.144675944E0,9.534381628E-1,5.669421673E0,-1.289967179E0
3.160675944E0,-1.809537709E-1,5.525310040E0,-1.492803931E0
3.176675944E0,-9.792763591E-1,4.931663036E0,-7.477283478E-1
3.192675944E0,-9.104095697E-1,3.950567007E0,-1.716642678E-1
3.208675944E0,-5.616988540E-1,2.563950777E0,-9.307698905E-2
